AC NO,Part NO,Polling Station Name(Kannada),Polling Station Name(English)
31,1,ಸರಕಾರಿ ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ  ಶಾಲೆ ದಸೂರ,
31,2,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಮಾದರಿ ಶಾಲೆ ಉಮರಜ,
31,3,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ದಕ್ಷಿಣ ಭಾಗದ ಮಧ್ಯದ ಕೋಣೆ ನಂ.4 ಉಮರಜ,
31,4,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಮಾದರಿ ಶಾಲೆ ಉಮರಾಜ,
31,5,"ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ  ,ಗೋವಿಂದಪೂರ",
31,6,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ  ಶಾಲೆ  ರೂಮ ನಂ 1 ಉಮರಾಣಿ,
31,7,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕೋಣೆ ನಂ 2 ಉಮರಾಣಿ,
31,8,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕೋಣೆ ನಂ 1 ಶಿರನಾಳ,
31,9,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕೋಣಿ ನಂ 2 ಶಿರನಾಳ,
31,10,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕೋಣೆ ನಂ 1 ಚಣೇಗಾಂವ,
31,11,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕೋಣೆ ನಂ 1 ಚಣೇಗಾಂವ ಎಲ್ ಟಿ,
31,12,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕೋಣೆ ನಂ 1 ರೇವತಗಾಂವ,
31,13,ಸರ್ಕಾರಿ ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಹೊಸ ಕಟ್ಟಡ ದಕ್ಷಿಣ ಭಾಗದ ಕೋಣೆ ನಂ.4 ರೇವತಗಾಂವ,
31,14,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕೋಣೆ ನಂ. 3 ರೇವತಗಾಂವ,
31,15,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕೋಣೆ ನಂ.4 ರೇವತಗಾಂವ,
31,16,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕೋಣೆ ನಂ 1 ನಿವರಗಿ,
31,17,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕೋಣೆ ನಂ 2 ನಿವರಗಿ,
31,18,ಓ.ಬಿ.ಬಿ.ಸ್ಕೂಲ ಕೋಣೆ ನಂ 1 ನಿವರಗಿ,
31,19,ಕಪ್ಪು ಹಲಿಗೆ ಶಾಲೆ ಕೋಣೆ ನಂ 1 ನೀವರಗಿ,
31,20,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕೋಣೆ ನಂ.1 ಟಾಕಳಿ,
31,21,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕೋಣೆ ನಂ 2 ಟಾಕಳಿ,
31,22,ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕೋಣೆ ನಂ.1 ಸಂಖ,
31,23,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಪೂರ್ವ ಭಾಗದ ಕೋಣೆ ನಂ.1 ಹೊಸ ಸಂಖ,
